But,4181
It,7290
The,11833
about,5942
be,26452
by,10638
her,20449
up,7076
you,30762
,202317
been,6016
down,4047
got,4001
have,23361
is,35680
me,11439
my,20204
she,15612
their,6250
them,5558
this,14886
upon,4098
we,9945
will,10437
but,19166
do,5093
had,23993
it,40976
like,4167
no,7461
on,12421
the,189575
then,4592
was,49358
which,7321
are,7446
as,26865
into,4257
one,8977
they,11112
He,7322
I,72700
all,11140
at,17361
of,116276
that,50320
your,10125
his,32510
out,7830
when,6776
who,4267
with,32897
And,7068
could,6526
he,34597
in,65162
or,8534
were,9647
would,9419
from,9073
has,5017
its,4379
so,8250
some,4084
there,6581
what,4852
a,94706
an,7855
and,154640
for,32818
if,5988
it.,4551
not,31253
said,4969
to,109540
any,4964
him,8349
thou,4247
